Instruction Address, Count, Readable Disasssembly
0x404d1d,1977246,"mov r13, r13"
0x403a30,96896130,"mov rax, rcx"
0x4087ba,2385079,"mov r12, rcx"
0x402823,3561660872,"mov r11, r9"
0x408849,472180,"mov r9, r9"
0x406bdc,4618586427,"mov r14, r14"
0x4017cd,2,"mov rcx, rcx"
0x408775,1977246,"mov r8, r8"
0x401c0e,288,"mov r11, r11"
0x403e05,241,"mov r14, r14"
0x40667e,363327153,"mov r13, rax"
0x408703,9915,"mov r9, r9"
0x402e67,989792,"mov rsi, rsi"
0x4064ae,1418848,"mov r12, r12"
0x405085,1,"mov rcx, rcx"
0x4086cc,1977246,"mov r10, r10"
0x40231f,264,"mov r14, r14"
0x402a63,22633374,"mov r9d, ecx"
0x4055f9,15000,"mov rdi, rdi"
0x40435d,1459464,"mov rax, rax"
0x4025d4,193292349,"mov r13, r13"
0x4017df,2,"mov rax, rax"
0x404f26,0,"mov rax, rax"
0x403551,745156,"mov rax, rax"
0x4028dd,231,"mov r14, r14"
0x402bfa,3,"mov rcx, rcx"
0x4074dd,157013217,"mov rdx, rdx"
0x408779,1977246,"mov r14, r14"
0x405543,1,"mov rax, rax"
0x4045c1,1977246,"mov r8, r8"
0x402784,3661110384,"mov r12, r12"
0x406bd5,4618586427,"mov r14, r14"
0x40560a,15000,"mov r12, rbp"
0x403561,468174,"mov rsi, rsi"
0x404e49,1977246,"mov rax, rax"
0x403b70,190861695,"mov rdi, rdi"
0x407368,3255039200,"mov r10, r10"
0x404e0c,0,"mov rdi, rdi"
0x40524c,1,"mov rbx, rbx"
0x40825f,603182266,"mov r12, r12"
0x4074be,157013217,"mov rax, r10"
0x4041ff,33,"mov rax, rax"
0x401ca3,1132,"mov rcx, rcx"
0x404cb6,1977246,"mov r9, r9"
0x4074ba,157013217,"mov r8, r8"
0x4074ab,157013217,"mov r10, r10"
0x4052ca,1,"mov rdi, rdi"
0x404c90,1977246,"mov rbp, rbp"
0x402e4e,990033,"mov rbx, rbx"
0x404edf,166,"mov rcx, rcx"
0x404416,8937979528,"mov r10, rdx"
0x4045a3,1977246,"mov rax, rbx"
0x402bb1,1,"mov rax, rdx"
0x402cf9,86537943,"mov rsi, rsi"
0x407494,161965054,"mov rbx, rax"
0x401db4,1332,"mov r11, r11"
0x40399e,34,"mov r12, r12"
0x403648,32,"mov rcx, rcx"
0x40873a,16512,"mov rax, rax"
0x40748c,161965054,"mov rcx, rcx"
0x406b95,4819948526,"mov r12, r12"
0x408790,2385079,"mov rax, rax"
0x402c50,1,"mov rcx, rax"
0x4022f9,248038,"mov rdx, rdx"
0x407374,3255039200,"mov rdx, r12"
0x406700,4703930260,"mov r10, r10"
0x4058af,117202,"mov rax, rax"
0x403036,32,"mov rbp, rdi"
0x404601,643766,"mov r11, r11"
0x406306,327625945,"mov r12, r11"
0x40807d,26442149,"mov rax, rax"
0x404672,59961934,"mov r9, r9"
0x4052e6,1,"mov r8, r8"
0x4041e0,33,"mov rdi, rdi"
0x403889,0,"mov r14, r14"
0x406bb6,4618586427,"mov rax, r14"
0x4078cf,336885004,"mov r12, rdx"
0x403869,1,"mov r14, r14"
0x40671c,4605910855,"mov rbx, r14"
0x40666b,363327153,"mov rcx, rax"
0x40643f,1440550,"mov rdi, rax"
0x408044,26442149,"mov rax, rax"
0x406555,22450119,"mov rbx, rbx"
0x4064c6,1418848,"mov rbp, rbx"
0x402003,31,"mov rax, rax"
0x403bd2,51748451,"mov rdx, rdx"
0x4057d7,12439,"mov rbx, rbx"
0x404254,4194809,"mov rdx, rdx"
0x401ee1,33,"mov r13, rdi"
0x4078d3,336885004,"mov r8, rbx"
0x402ad8,20,"mov r9d, r9d"
0x404cf6,1977246,"mov rcx, rsi"
0x40653d,1426487,"mov r15, r13"
0x405114,30000,"mov r9, rax"
0x4063b0,30550042,"mov rbp, rbp"
0x406367,191222340,"mov r12, r12"
0x403190,1,"mov r8, rax"
0x406360,191222340,"mov r12, r12"
0x40445b,2112884,"mov rax, rax"
0x4042b0,1977279,"mov r9d, r9d"
0x4061d2,172104813,"mov r9, rax"
0x405b67,136403605,"mov rax, rax"
0x405527,1,"mov rax, rax"
0x40619b,172104813,"mov rcx, rcx"
0x403460,1,"mov rcx, rdx"
0x406630,363327153,"mov r11, r11"
0x4078de,336885004,"mov r8, r8"
0x408907,119591748,"mov rax, rax"
0x4061c8,172104813,"mov rax, rax"
0x40521a,1,"mov r15, rbx"
0x405b71,136403605,"mov r8, rax"
0x4053b0,2,"mov rdi, rax"
0x4064bf,1418848,"mov rdi, rcx"
0x405ade,136403605,"mov rax, rax"
0x4045f7,6551439,"mov rdx, rdx"
0x402604,193292349,"mov rbx, rbx"
0x402477,121138835,"mov r10d, esi"
0x405abe,136403605,"mov rbp, rbp"
0x401c45,0,"mov rdi, rdi"
0x405a4d,312488396,"mov rax, rax"
0x4087a7,2385079,"mov rax, rax"
0x401dc5,0,"mov rsi, rsi"
0x405a40,312488396,"mov edi, eax"
0x408829,472180,"mov rax, rax"
0x404d02,1977246,"mov rdi, rdi"
0x401ff7,31,"mov rcx, rsi"
0x40563e,15000,"mov eax, eax"
0x404550,2275294,"mov rdx, r10"
0x405922,20013,"mov rbx, rbx"
0x403be4,51748451,"mov r9, r9"
0x403bce,51748451,"mov r9, r9"
0x406447,1440550,"mov rbp, rbp"
0x401d30,1332,"mov rax, rax"
0x4043f5,9092114390,"mov rbp, rbp"
0x405a34,312488396,"mov esi, eax"
0x402595,193292349,"mov r9, r9"
0x4023e1,494967,"mov rdx, rsi"
0x404c5a,33,"mov r12, rax"
0x401d1e,1332,"mov rcx, rcx"
0x404570,1977279,"mov rax, rax"
0x4043e3,298216,"mov r13, rdx"
0x402b6e,1,"mov rcx, rax"
0x4078f8,0,"mov rdx, rdx"
0x4043df,298216,"mov rbp, rbp"
0x40333b,91168281,"mov r14, rsi"
0x405897,117202,"mov rbx, rbx"
0x405ca0,203911360,"mov rbx, r14"
0x403d7e,33,"mov rdi, rdi"
0x405334,1,"mov rax, rax"
0x4043d0,298216,"mov rax, rax"
0x404352,116653052,"mov r10, r10"
0x40281c,3561660872,"mov r9, r9"
0x404421,8937979528,"mov r10, r10"
0x4056cc,12438,"mov ecx, ebx"
0x404d75,1977279,"mov rax, rdx"
0x4078c0,336885004,"mov rdx, r13"
0x40446c,2112884,"mov rax, rax"
0x4088eb,108739257,"mov rcx, rcx"
0x401d09,1332,"mov rbx, rbx"
0x404b33,33,"mov rdi, rdi"
0x4042ac,1977279,"mov rcx, rcx"
0x404f14,1977246,"mov r12, rbx"
0x402dd6,33,"mov rax, rax"
0x40183f,2,"mov rcx, rcx"
0x405c7b,287849508,"mov rbp, rbp"
0x4087e7,144529,"mov rax, rax"
0x402f44,1619344,"mov rax, rax"
0x404fd5,32,"mov rbx, rbx"
0x404488,2112884,"mov rax, rax"
0x40638c,171324883,"mov r15, r15"
0x403403,30,"mov rax, rax"
0x401e38,0,"mov rsi, rsi"
0x4014ea,162202,"mov rax, rax"
0x406bc2,4618586427,"mov r15, rcx"
0x404370,114569690,"mov rax, rax"
0x404ee7,166,"mov rax, rax"
0x40298b,494967,"mov rdi, r14"
0x40507a,1,"mov rsi, rdx"
0x402b0c,1,"mov rcx, rcx"
0x4024d8,59984380,"mov r13, r13"
0x405992,12438,"mov r14, r14"
0x4058cf,117202,"mov rax, rax"
0x40449a,2112884,"mov rax, rax"
0x4023da,494967,"mov rsi, rsi"
0x4053ed,1,"mov rbp, r15"
0x402a08,32,"mov rax, rax"
0x4042b7,1977279,"mov rax, rax"
0x405aa5,136403605,"mov r13, r13"
0x403bdd,51748451,"mov rcx, rcx"
0x4056c8,12438,"mov rax, rax"
0x4087f8,72577,"mov rbp, rbp"
0x4035c1,5850454,"mov rsi, rsi"
0x403bfb,139113244,"mov rax, rcx"
0x403beb,51748451,"mov rax, r9"
0x4056e1,12438,"mov rcx, rcx"
0x40887b,0,"mov r11, r11"
0x405646,15000,"mov eax, r13d"
0x4030ea,32,"mov r9, r9"
0x40818e,287555324,"mov r12, r12"
0x405362,1,"mov rdi, rdi"
0x40535b,1,"mov rdx, rdx"
0x4030dc,32,"mov rax, r10"
0x4033de,31,"mov rdx, rdx"
0x404cc6,1977246,"mov rsi, rsi"
0x401e50,0,"mov rdx, rdx"
0x401d05,1332,"mov rdx, rdx"
0x40142a,29993,"mov rsi, rsi"
0x405664,15000,"mov rax, rax"
0x401fff,31,"mov r12, r12"
0x402a47,32,"mov rbp, rbp"
0x4063a8,30550042,"mov rbx, r13"
0x405758,12438,"mov rax, rax"
0x40395c,34,"mov r14, rdi"
0x402d75,3995716,"mov rsi, rsi"
0x401e20,0,"mov rax, rax"
0x40217c,15,"mov r14, r14"
0x405319,1,"mov rax, rax"
0x405636,15000,"mov ecx, ecx"
0x401824,2,"mov rax, rax"
0x405312,1,"mov rdx, rdx"
0x401794,44035828,"mov rcx, rcx"
0x405a43,312488396,"mov r12, r11"
0x403af9,38336,"mov rdx, rdx"
0x405556,1,"mov rax, rax"
0x40188a,59984,"mov r8, r8"
0x403450,29,"mov r12, rbp"
0x4059ac,12438,"mov rax, rax"
0x40533b,1,"mov rax, rax"
0x40589b,117202,"mov eax, r13d"
0x405770,12438,"mov rcx, rcx"
0x4052fc,1,"mov rax, r9"
0x4081af,261113175,"mov rbx, r14"
0x40575c,12438,"mov ecx, ebx"
0x406310,327625945,"mov rax, rax"
0x4042c3,1977279,"mov rcx, rcx"
